Depth [m],d13C [permil PDB],d18O [permil PDB],Age [ka BP],Reference
136.71,2.006,-0.311,55601,Zachos et al. (2005)
136.74,1.997,-0.29,55604,Zachos et al. (2005)
136.75,2.026,-0.438,55605,Zachos et al. (2005)
136.77,1.969,-0.395,55606,Zachos et al. (2005)
136.78,2.029,-0.39,55607,Zachos et al. (2005)
136.8,1.963,-0.396,55609,Zachos et al. (2005)
136.81,2.03,-0.437,55610,Zachos et al. (2005)
136.83,1.97,-0.368,55611,Zachos et al. (2005)
136.86,1.973,-0.394,55614,Zachos et al. (2005)
136.87,1.996,-0.435,55614,Zachos et al. (2005)
136.89,1.972,-0.335,55616,Zachos et al. (2005)
136.9,1.984,-0.419,55617,Zachos et al. (2005)
136.92,1.991,-0.258,55619,Zachos et al. (2005)
136.93,1.981,-0.506,55619,Zachos et al. (2005)
136.95,1.965,-0.332,55621,Zachos et al. (2005)
136.96,1.895,-0.489,55622,Zachos et al. (2005)
136.98,1.958,-0.295,55624,Zachos et al. (2005)
137.01,1.96,-0.349,55626,Zachos et al. (2005)
137.02,1.858,-0.564,55627,Zachos et al. (2005)
137.04,1.893,-0.327,55629,Zachos et al. (2005)
137.05,1.892,-0.631,55629,Zachos et al. (2005)
137.07,1.896,-0.347,55631,Zachos et al. (2005)
137.08,1.92,-0.491,55632,Zachos et al. (2005)
137.1,1.859,-0.37,55634,Zachos et al. (2005)
137.11,1.92,-0.541,55634,Zachos et al. (2005)
137.13,1.902,-0.431,55636,Zachos et al. (2005)
137.16,1.925,-0.327,55639,Zachos et al. (2005)
137.17,1.957,-0.437,55639,Zachos et al. (2005)
137.19,1.932,-0.322,55641,Zachos et al. (2005)
137.2,1.952,-0.342,55642,Zachos et al. (2005)
137.22,1.922,-0.304,55644,Zachos et al. (2005)
137.23,1.845,-0.542,55644,Zachos et al. (2005)
137.25,1.869,-0.385,55646,Zachos et al. (2005)
137.28,1.813,-0.401,55648,Zachos et al. (2005)
137.32,1.876,-0.53,55650,Zachos et al. (2005)
137.35,1.934,-0.582,55652,Zachos et al. (2005)
137.41,1.998,-0.542,55656,Zachos et al. (2005)
137.47,1.908,-0.624,55659,Zachos et al. (2005)
137.5,1.865,-0.741,55661,Zachos et al. (2005)
137.53,1.903,-0.687,55663,Zachos et al. (2005)
137.56,1.971,-0.532,55664,Zachos et al. (2005)
137.62,2.013,-0.589,55668,Zachos et al. (2005)
137.65,2.055,-0.59,55670,Zachos et al. (2005)
137.68,2.045,-0.583,55672,Zachos et al. (2005)
137.71,1.991,-0.628,55673,Zachos et al. (2005)
137.77,1.97,-0.652,55677,Zachos et al. (2005)
137.8,1.979,-0.653,55679,Zachos et al. (2005)
137.83,2.021,-0.639,55681,Zachos et al. (2005)
137.86,2.058,-0.606,55682,Zachos et al. (2005)
137.92,2.069,-0.585,55684,Zachos et al. (2005)
137.95,2.047,-0.516,55686,Zachos et al. (2005)
137.98,2.059,-0.433,55688,Zachos et al. (2005)
138.01,2.082,-0.457,55690,Zachos et al. (2005)
138.07,2.034,-0.487,55693,Zachos et al. (2005)
138.1,1.994,-0.542,55695,Zachos et al. (2005)
138.13,1.986,-0.556,55697,Zachos et al. (2005)
138.16,1.981,-0.508,55698,Zachos et al. (2005)
138.22,1.968,-0.408,55702,Zachos et al. (2005)
138.25,2.023,-0.358,55704,Zachos et al. (2005)
138.28,2.037,-0.335,55706,Zachos et al. (2005)
138.31,1.967,-0.415,55707,Zachos et al. (2005)
138.34,1.842,-0.724,55709,Zachos et al. (2005)
138.37,1.929,-0.49,55711,Zachos et al. (2005)
138.4,1.955,-0.574,55715,Zachos et al. (2005)
138.43,1.853,-0.733,55717,Zachos et al. (2005)
138.46,1.826,-0.662,55720,Zachos et al. (2005)
138.49,1.876,-0.478,55722,Zachos et al. (2005)
138.52,1.821,-0.621,55725,Zachos et al. (2005)
138.55,1.842,-0.602,55727,Zachos et al. (2005)
138.58,1.91,-0.439,55730,Zachos et al. (2005)
138.61,1.884,-0.431,55732,Zachos et al. (2005)
138.64,1.901,-0.467,55735,Zachos et al. (2005)
138.67,1.878,-0.369,55737,Zachos et al. (2005)
138.7,1.843,-0.365,55739,Zachos et al. (2005)
138.73,1.797,-0.496,55742,Zachos et al. (2005)
138.79,1.731,-0.577,55747,Zachos et al. (2005)
138.82,1.764,-0.471,55749,Zachos et al. (2005)
138.85,1.812,-0.357,55752,Zachos et al. (2005)
138.88,1.819,-0.258,55754,Zachos et al. (2005)
138.91,1.828,-0.382,55757,Zachos et al. (2005)
138.94,1.766,-0.377,55759,Zachos et al. (2005)
138.97,1.821,-0.31,55761,Zachos et al. (2005)
139,1.852,-0.244,55764,Zachos et al. (2005)
139.03,1.755,-0.516,55766,Zachos et al. (2005)
139.06,1.8,-0.209,55769,Zachos et al. (2005)
139.09,1.729,-0.543,55771,Zachos et al. (2005)
139.12,1.804,-0.409,55774,Zachos et al. (2005)
139.13,1.78,-0.338,55775,Zachos et al. (2005)
139.14,1.761,-0.67,55775,Zachos et al. (2005)
139.15,1.761,-0.483,55776,Zachos et al. (2005)
139.16,1.832,-0.192,55777,Zachos et al. (2005)
139.17,1.793,-0.296,55778,Zachos et al. (2005)
139.18,1.86,-0.245,55779,Zachos et al. (2005)
139.19,1.817,-0.386,55780,Zachos et al. (2005)
139.2,1.699,-0.557,55782,Zachos et al. (2005)
139.21,1.753,-0.367,55783,Zachos et al. (2005)
139.22,1.785,-0.382,55785,Zachos et al. (2005)
139.23,1.798,-0.254,55786,Zachos et al. (2005)
139.25,1.791,-0.542,55790,Zachos et al. (2005)
139.26,1.802,-0.324,55791,Zachos et al. (2005)
139.27,1.796,-0.167,55793,Zachos et al. (2005)
139.28,1.789,-0.369,55794,Zachos et al. (2005)
139.29,1.81,-0.343,55796,Zachos et al. (2005)
139.3,1.699,-0.618,55797,Zachos et al. (2005)
139.31,1.792,-0.402,55799,Zachos et al. (2005)
139.32,1.726,-0.358,55801,Zachos et al. (2005)
139.33,1.745,-0.381,55802,Zachos et al. (2005)
139.34,1.728,-0.373,55804,Zachos et al. (2005)
139.35,1.644,-0.551,55805,Zachos et al. (2005)
139.36,1.66,-0.454,55807,Zachos et al. (2005)
139.37,1.677,-0.374,55809,Zachos et al. (2005)
139.38,1.643,-0.366,55810,Zachos et al. (2005)
139.39,1.538,-0.564,55812,Zachos et al. (2005)
139.4,1.541,-0.585,55813,Zachos et al. (2005)
139.42,1.555,-0.6,55816,Zachos et al. (2005)
139.43,1.5,-0.574,55818,Zachos et al. (2005)
139.44,1.489,-0.522,55820,Zachos et al. (2005)
139.46,1.502,-0.532,55823,Zachos et al. (2005)
139.47,1.484,-0.514,55824,Zachos et al. (2005)
139.48,1.473,-0.534,55826,Zachos et al. (2005)
139.49,1.488,-0.526,55827,Zachos et al. (2005)
139.5,1.433,-0.63,55829,Zachos et al. (2005)
139.61,1.396,-0.636,55846,Zachos et al. (2005)
139.62,1.413,-0.521,55848,Zachos et al. (2005)
139.63,1.349,-0.6,55850,Zachos et al. (2005)
139.64,1.318,-0.576,55851,Zachos et al. (2005)
139.66,1.321,-0.603,55854,Zachos et al. (2005)
139.67,1.323,-0.576,55856,Zachos et al. (2005)
139.68,1.327,-0.601,55857,Zachos et al. (2005)
139.69,1.36,-0.525,55859,Zachos et al. (2005)
139.71,1.303,-0.582,55862,Zachos et al. (2005)
139.72,1.237,-0.654,55864,Zachos et al. (2005)
139.74,1.181,-0.868,55865,Zachos et al. (2005)
139.75,1.117,-0.838,55867,Zachos et al. (2005)
139.77,0.782,-1.22,55870,Zachos et al. (2005)
139.78,0.662,-1.349,55872,Zachos et al. (2005)
139.8,0.61,-1.503,55875,Zachos et al. (2005)
139.81,0.271,-1.692,55876,Zachos et al. (2005)
139.82,0.187,-1.582,55878,Zachos et al. (2005)
139.83,0.265,-1.712,55880,Zachos et al. (2005)
139.84,0.299,-1.679,55881,Zachos et al. (2005)
139.85,0.284,-1.736,55883,Zachos et al. (2005)
139.86,0.227,-1.806,55884,Zachos et al. (2005)
139.87,0.383,-1.691,55886,Zachos et al. (2005)
139.88,0.256,-1.701,55887,Zachos et al. (2005)
139.89,0.306,-1.863,55889,Zachos et al. (2005)
139.9,0.232,-1.939,55891,Zachos et al. (2005)
139.91,0.189,-1.921,55892,Zachos et al. (2005)
139.92,0.234,-1.938,55894,Zachos et al. (2005)
139.93,0.456,-1.689,55895,Zachos et al. (2005)
139.94,0.451,-1.806,55897,Zachos et al. (2005)
139.95,0.922,-1.349,55898,Zachos et al. (2005)
139.96,0.807,-1.444,55900,Zachos et al. (2005)
139.97,0.436,-1.737,55902,Zachos et al. (2005)
139.98,0.527,-1.234,55903,Zachos et al. (2005)
139.99,0.731,-1.264,55905,Zachos et al. (2005)
140.15,2.248,-1.012,55932,Zachos et al. (2005)
140.17,2.233,-1.023,55935,Zachos et al. (2005)
140.19,2.16,-0.973,55938,Zachos et al. (2005)
140.21,2.127,-1.006,55941,Zachos et al. (2005)
140.22,2.138,-0.945,55942,Zachos et al. (2005)
140.23,2.199,-0.892,55944,Zachos et al. (2005)
140.24,2.191,-0.709,55946,Zachos et al. (2005)
140.26,2.186,-0.984,55949,Zachos et al. (2005)
140.27,2.244,-0.915,55950,Zachos et al. (2005)
140.28,2.266,-0.898,55952,Zachos et al. (2005)
140.29,2.214,-0.904,55953,Zachos et al. (2005)
140.31,2.303,-0.865,55956,Zachos et al. (2005)
140.32,2.318,-0.889,55958,Zachos et al. (2005)
140.33,2.326,-0.897,55960,Zachos et al. (2005)
140.34,2.319,-0.837,55961,Zachos et al. (2005)
140.37,2.304,-0.949,55966,Zachos et al. (2005)
140.4,2.36,-0.822,55970,Zachos et al. (2005)
140.45,2.519,-0.563,55978,Zachos et al. (2005)
140.55,2.439,-0.536,55994,Zachos et al. (2005)
140.6,2.381,-0.516,56001,Zachos et al. (2005)
140.65,2.297,-0.649,56009,Zachos et al. (2005)
140.7,2.224,-0.781,56017,Zachos et al. (2005)
140.78,2.27,-0.42,56029,Zachos et al. (2005)
140.79,2.26,-0.41,56031,Zachos et al. (2005)
140.8,2.24,-0.41,56032,Zachos et al. (2005)
140.81,2.28,-0.45,56034,Zachos et al. (2005)
140.82,2.26,-0.48,56036,Zachos et al. (2005)
140.83,2.27,-0.52,56037,Zachos et al. (2005)
140.84,2.23,-0.48,56039,Zachos et al. (2005)
140.85,2.19,-0.51,56040,Zachos et al. (2005)
140.86,2.24,-0.51,56041,Zachos et al. (2005)
140.87,2.35,-0.49,56042,Zachos et al. (2005)
140.93,2.246,-0.427,56047,Zachos et al. (2010)
140.96,2.464,-0.287,56050,Zachos et al. (2010)
140.99,2.47,-0.376,56053,Zachos et al. (2010)
141.02,2.453,-0.415,56056,Zachos et al. (2010)
141.05,2.292,-0.522,56059,Zachos et al. (2010)
141.08,2.382,-0.494,56062,Zachos et al. (2010)
141.11,2.347,-0.497,56064,Zachos et al. (2010)
141.14,2.462,-0.42,56067,Zachos et al. (2010)
141.17,2.475,-0.416,56070,Zachos et al. (2010)
141.2,2.438,-0.461,56073,Zachos et al. (2010)
141.23,2.434,-0.447,56076,Zachos et al. (2010)
141.26,2.449,-0.469,56079,Zachos et al. (2010)
141.29,2.441,-0.56,56082,Zachos et al. (2010)
141.32,2.431,-0.606,56085,Zachos et al. (2010)
141.35,2.532,-0.505,56087,Zachos et al. (2010)
141.38,2.443,-0.622,56090,Zachos et al. (2010)
141.41,2.517,-0.484,56093,Zachos et al. (2010)
141.44,2.48,-0.563,56096,Zachos et al. (2010)
141.47,2.482,-0.461,56099,Zachos et al. (2010)
141.5,2.483,-0.455,56102,Zachos et al. (2010)
141.53,2.454,-0.524,56105,Zachos et al. (2010)
141.56,2.4,-0.625,56107,Zachos et al. (2010)
141.59,2.437,-0.512,56110,Zachos et al. (2010)
141.62,2.517,-0.462,56113,Zachos et al. (2010)
141.65,2.468,-0.515,56116,Zachos et al. (2010)
141.68,2.547,-0.386,56119,Zachos et al. (2010)
141.71,2.444,-0.472,56122,Zachos et al. (2010)
141.74,2.449,-0.643,56125,Zachos et al. (2010)
141.77,2.431,-0.521,56128,Zachos et al. (2010)
141.8,2.392,-0.507,56130,Zachos et al. (2010)
141.86,2.444,-0.374,56136,Zachos et al. (2010)
141.89,2.442,-0.481,56139,Zachos et al. (2010)
141.92,2.452,-0.394,56142,Zachos et al. (2010)
141.95,2.434,-0.478,56144,Zachos et al. (2010)
141.98,2.489,-0.461,56147,Zachos et al. (2010)
142.01,2.583,-0.384,56150,Zachos et al. (2010)
142.04,2.568,-0.418,56152,Zachos et al. (2010)
142.07,2.661,-0.318,56155,Zachos et al. (2010)
142.1,2.698,-0.327,56158,Zachos et al. (2010)
142.13,2.64,-0.419,56160,Zachos et al. (2010)
142.16,2.545,-0.431,56163,Zachos et al. (2010)
142.19,2.665,-0.379,56165,Zachos et al. (2010)
142.22,2.648,-0.487,56168,Zachos et al. (2010)
142.25,2.708,-0.32,56171,Zachos et al. (2010)
142.28,2.73,-0.447,56173,Zachos et al. (2010)
142.31,2.688,-0.404,56176,Zachos et al. (2010)
142.34,2.691,-0.558,56178,Zachos et al. (2010)
142.37,2.766,-0.402,56181,Zachos et al. (2010)
142.4,2.75,-0.398,56184,Zachos et al. (2010)
142.43,2.741,-0.387,56186,Zachos et al. (2010)
142.46,2.709,-0.503,56189,Zachos et al. (2010)
142.49,2.839,-0.314,56191,Zachos et al. (2010)
142.52,2.783,-0.255,56194,Zachos et al. (2010)
142.55,2.824,-0.31,56197,Zachos et al. (2010)
142.58,2.841,-0.348,56199,Zachos et al. (2010)